一级组织,二级组织,三级组织,30.您认为公司在哪些方面需要改进? （建议列举三项，多多益善～）,分类
美术支撑部,其他,,"1. 各工作室之间的交流，包括技术，管理，工具使用
2. QBR减少频次或者内容精减
3. 其他都不错的",
美术支撑部,影视创意组,,"电脑3年没更新了 ，性能跟不上 
内部网络服务器有点慢",
美术支撑部,影视创意组,,"1.行政、后勤工作太棒了，导致员工有依赖性
2.休息区域私有的物品和共有的物品难以分辨，可以做个标记
3.希望公司加强对社团支持的力度，增强小伙伴的凝聚力",
美术支撑部,影视创意组,,"创作新项目方面多探讨或多留机会是否会更好？
如有常设游戏试玩区以及游戏相关视频的观影区如何？
身体锻炼或活动区再多点是否好些？",
美术支撑部,影视创意组,,"公司的考勤制度，在前一天因项目原因不得不加班到凌晨的情况下，第二天依旧得早起上班打卡，休息时间严重不够
对于转正以后升了职级，但不涨薪资（涨薪资得等窗口期），不是特别理解，相当于职级升了但没什么用，在绩效考核上要求提升了，但薪资没有体现，这并不合理毕竟这当中有好几个月
A2门口的波利樱花掉一头“头皮屑”望公司有人注意到能及时清洗，不然又要丑一年，毕竟是公司门面",
美术支撑部,影视创意组,,腾讯文档希望可以开通会员，对外沟通时需要大量使用，但由于内存不足很困扰,
平台支撑部,TapDB,,薪酬激励和晋升不完善，没有方向,
平台支撑部,TapDB,,"1. 决策尽量科学一点，不要脑袋一热就上，冷水一浇就撤
2. 鼓励人员横向流动，打破舒适圈，调动积极性",
平台支撑部,XDWeb,,"1、考勤可以更加自由灵活，按照工作计划完成效率和进度来，比单纯的考勤更有价值，比如有时候文思泉涌，但一想到明天早上必须早起，我只能中断工作，明天到公司又要花费更多的时间来整理文案内容。当然更加规律的生活确实有利于身心健康。
2、其他都很不错。",
平台支撑部,技术,,无普调,
平台支撑部,技术,,"希望以后每年都有团建大outing，另外今年去冲绳的团队太大了，可能会有损旅游体验；
假期和业内相比太少，可以不要无限假期，给实际的假期",
平台支撑部,技术,,1、说好的坦诚，部分部门有团建，部分部门没有，公司政策到底是什么样的，没有看到。,
平台支撑部,其他,,项目管理流程,
平台支撑部,其他,,"1.不关注员工的职业发展和专业成长，比如上海市人力资源和社会保障局组织的高级职称评审（副高级工程师），全公司竟然没有一个HR或者行政同学了解过，公司也不能提供任何背书。

2.希望公司提供住房相关的问题解答和建议，比如政府提供的公租房、廉租房，行政目前不给予任何帮助和建议。",
浅水工作室,其他,,人性化的弹性上下班时间,
浅水工作室,神仙道,,"零食更加丰富
卫生纸
食堂餐品经常更换",
人力资源部,HRBP,,部门协作、流程规范、AI 应用,
人力资源部,HRBP,,"1、希望各中台部门在现有资源允许的情况下更多开发自动化工具，协助业务提高工作效率；
2、希望可以持续降低公摊成本，让工作室的利润率最大化；",
人力资源部,其他,,"1.公司需加强人力成本的预算和控制，建立稳定一贯的用人观和付薪理念
2.公司在激励探索和创新方面，还需要更加大胆和谋略，抓住技术红利和窗口期
3.希望重视年轻人才的提拔和培养，尽快形成良将如潮、人才济济的局面",
人力资源部,其他,,是不是可以把树洞取消，员工一天到晚在里面逼逼叨,
人力资源部,其他,,"打通部门强，更好的分享优秀案例、实践让更多团队有所启发，甚至是受益。
ai 时代，公司在提供工具支持上，可以更便捷一些。
财务分析团队可以更主动一些，为业务部门提供数据支持，协助业务部门制定合理预算，跟踪执行偏差，提出调整建议。识别业务中的浪费环节，推动降本增效。",
人力资源部,其他,,"1. 清晰的文化导向，政策和执行的一致性；
2. 奖优惩劣。",
人力资源部,人才引进,,领头人几乎动不了···,
人力资源部,人才引进,,"1、绩效激励（奖金、调薪等）效果不足，尤其对某些全人力 focus 在某个业务上的同学。个人为自己支持的业务发展拼尽全力，个人年度绩效良好，所支持的业务发展也良好情况下，最后到发绩效奖金时，个人奖金系数连所支持业务团队奖金系数的平均值都不到（给人感觉不是在和自己所支持的业务团队一起并肩作战），缺乏公平。拼尽全力做事和随便做做没什么差别情况下，员工为什么要那么拼命付出呢？
2、业务发展战略不明确、战略定力不足。（如 TapTap 国际化业务，从23年下半年至今，大的业务发展方向调了无数次，一直没找到坚定去探索的方向。甚至一会儿说做，一会儿又可能整个业务直接砍掉，反反复复，员工连要去做这个业务的决心都感觉不到，看不到努力的方向。）
3、互联网业界在反内卷，但我们某些管理方式却在强化内卷，部分管理方式和业界优秀管理理念背道而驰。如上下班时间逐步被固化、薪资结构调整等（虽说是加强浮动奖金部分，鼓励创造价值，但努力付出后，实际浮动部分并没有因个人绩效表现好坏有太大缺别，付出和回报不匹配，给人感觉只是把原来的14薪换成16薪发，只是玩了个数字游戏而已）",
市场部,国内投放,,希望可以定期提供纸巾（许愿,
市场部,市场营销,,"1. 建议优化一下年假制度
2. 厕所洗手台没热水
3. 暂时没想到",
市场部,市场营销,,年假太少，考勤打卡太不自由，没有带薪病假,
市场部,市场营销,,心动发行部门年假太少，远低于上海互联网公司平均水平；心动发行部门年假太少，远低于上海互联网公司平均水平；心动发行部门年假太少，远低于上海互联网公司平均水平；,
市场部,视觉创意,,食堂外送和堂食品质差异大，稍晚一点就没有什么菜了,
市场部,视觉创意,,"1.食堂建议12点后才开始准时开门，现在很多同事12点不到就开始提前离开工位跑去D7食堂吃饭，让我们这些按照公司要求准时12点后去吃饭的员工到了食堂也在大排长龙。
2.如果出现连续几天加班超过10点半甚至通宵的情况 ，早上的10点30-10点35分弹性打卡时间可以延长至11点。
3.希望有朝一日可以恢复当初留在公司自愿降薪员工的工资回到原来的水平。",
市场部,视觉创意,,"1:涨薪机会渺茫
2:部门与部门间信息不通畅",
市场部,视觉创意,,1.调薪制度能否深入到每个人,
市场部,视觉创意,,"1.人手不足又迟迟没有HC，还要被管理层觉得产能不足
2.有些需求部门缺乏对自己需求的基本认知，提需求提不清楚",
市场部,视觉创意,,外行人指导内行人，在没有任何数据支持依据支持的情况下经常仅凭主观感受‘为了提出意见而提意见’。,
市场部,视觉创意,,虽然有将奖金制度，但对于职能部门来说所谓的激励政策也就是随便给，并没有明确清晰的参考标准，个人认为这并不适合每个部门和工种,
音频支撑部,其他,,"停车贵
健身房器材可以更丰富一些（如动感单车，力量器械也可以添加一些）
饮料希望有苏打水",
音频支撑部,其他,,工作流的优化、各部门的协同合作,
音频支撑部,音频设计组,,"1：员工专业及非专业的分享交流。专业提升比如支持相关专业领域的人来交流互动，之前有请过拳头的美术总监线上分享。非专业，比如组织心理专业的讲座，或者是其他科普类的活动。甚至可以跨行业找一些销售类的专业人士来分享交流，游戏的玩法设计和人类心理模式也很相关，赛季的活动设计，付费内容的设计是否也可以借鉴线下的销售手段，产生设计灵感。
2：团队整体凝聚力的提升，增强不同部门，不同工作室之间的交流互动。或者可以征集设计一些全公司同事都可以参与的，利用周末线下的时间自由报名，有趣的活动总会有人有兴趣的参加。
我希望我的公司可以发展的越来越好，希望每个加入心动的同学都感受到快乐。保持愉悦，可以使智商翻倍。",
音频支撑部,音频设计组,,1.想要纸巾零食和旅游,
游戏菌工作室,策划,,对创作者不友好。特别是做出成果的创作团队，竟然支持度很差，好像不在意核心创作人员的离职，既然这样我只能说心动难以进行人才积累，下一个好游戏很难做出来,
游戏菌工作室,策划,,"1. 权责不够分明，很多具体工作负责人不明确，导致信息确认困难以及落地跟进缺失
2. 跨部门沟通合作不够流畅，出现沟通问题时不能很好解决，更多是情绪化和回避沟通
3. 缺失较为明确的工作反馈，工作中获得的价值观和认同感较为不足",
游戏菌工作室,策划,,办公工具 confluence和slack使用上还是有诸多不便，没有类似飞书这种 沟通，共享，管理为一身的管理工具，特别是confluence虽然有诸多接口 但是使用不是很方便，包括卡顿 延迟等问题,
游戏菌工作室,策划,,晋升通道,
游戏菌工作室,程序,服务端,希望有水果,
游戏菌工作室,程序,客户端,希望零食区增加品类，下午茶水果回归。,
游戏菌工作室,程序,客户端,"1.零食
2.纸巾",
游戏菌工作室,程序,客户端,希望能有更多技术的教学,
游戏菌工作室,程序,客户端,工作环境很舒服了，但是不知道升职级和涨工资的标准是什么。这次小镇项目成功了不知道能不能升职级，自我认为贡献还不错，也挺努力工作的。,
游戏菌工作室,程序,其他,"1. 跨项目、大部门协作还是有些低效，虽然算是存在立场之分的业界常态，但个人认为是一个很可以挖掘效率、打通隔阂的点
2.跨项目通用的基建真的好差，虽然肯定有在逐渐变好，但同时因为项目制的成本机制，导致这种问题的解决很迟缓，变相地在拖着各项目的效率
3.AI、工具软件相关的一些未集中采购但必然有利的报销流程还是好麻烦，导致经常宁愿自己掏钱买都不愿意去走付费和报销等流程，希望可以对提效相关的一些购买项能更高效些，少些拉扯。",
游戏菌工作室,美术,概念设计,基础员工薪酬什么时候能涨涨,
游戏菌工作室,美术,其他,"整个2024年里：
1.公司在对项目预期和资源支持上有些割裂，效率的提升源自于员工对项目的初心和责任心（或者掺杂一些PUA？）；
2.管理预期和合理排期，是一线员工对公司和管理岗的期望；
3.公司处在当前发展阶段，项目仅在TapTap上，是否真的合理；
3.对于主动破坏团队和谐，多次职场霸凌他人且遭多部门多次投诉的人员未能妥善处理，这一点很失望；
4.晋升、奖金、加薪、绩效看似有规章制度，实则模糊不清；
5.【这一条不知道属于什么原因，但一定不是大环境造就的】前几年大家干的有劲，有困难一起冲上去解决，庆幸有平台汇聚了“匠人”到身边，对未来充满希望；当前是前途渺茫，人们也好像提不起劲了，职责画的很清晰，强调流程不管对错，好似一座没有灵魂的机器。",
游戏菌工作室,其他,,招聘成年人，看重专业能力的同时避免招聘巨婴，岗位必知必会必用的工具使用应加入试用考核或培训，不应把培训成本、常见问题解答分摊给组内会用工具的同学；劳烦食堂取缔标题党，老麻抄手、麻辣烫、重庆小面做的鬼迷日眼的，别误导他人。,
员工服务中心,后勤保障中心,,员工行为规范,
运营部,海外发行支持,,"工作工具，谷歌全家桶比起微软工具非常不好用
如果能允许使用企业微信或是飞书就好了",
运营部,铃兰之剑,,当前对于一线员工来说，薪资和晋升并不能直接和工作实际产出挂钩，因为绩效及晋升还绑定了项目的成绩，如果项目不是拔得头筹的那个，那么我个人作为上下游皆认可作出巨大贡献的员工其实并不能得到合理的回报。项目有周期，员工的职业发展如果在项目发展不亮眼的时期陷入迟滞状态，对个人工作信心是比较大的打击，在这个时候，直属领导层的认可和安慰其实也是情感作用多一些，没有感受到薪资和物质回报层面的认可还是有很大的失落感。换个角度说，就是希望多维度衡量和考察员工绩效、晋升，做到真正的通透放开，不单单以项目成绩定生死，而不是名义上的放开多维度考量。,
运营部,麦芬,,"1. 无限年假回归或者推出新的休假政策能每年多一些假期
2. 更加清晰的晋升流程
3. 空调经常冬天冷，夏天冷（只看表面温度数据，尤其是当调整温度的人在A1，但是远程调整A3温度，完全不考虑别的办公楼的体感温度，而且温度调整面板还被锁死）",
运营部,麦芬,,零食，零食，还是零食！,
运营部,香肠派对,,"在团队协作过程中，发现个别岗位存在以下问题：考勤纪律执行与实质工作投入存在偏差；工作成果在时效性、准确性和完整性方面尚有提升空间；工作环节的沟通方式及衔接效率，对团队协作以及成果产出造成了负面影响。

为了进一步提升团队整体效率和工作质量，建议公司探索更有效的方式来考核评估员工的工作投入和实际贡献，减少不必要的环节和潜在的瓶颈，从而提升上下游协作效率。",
运营部,香肠派对,,优化考勤系统员工自己能看到当日签到签退时间以及当月异常次数,
运营部,心动小镇,,多优化下公司后台工具，操作起来希望更加便利。,
运营部,心动小镇,,现在商保有点难开到自己需要的药品，哪怕去医院先开了病例，他们也开不到,
运营部,心动小镇,,希望能够有更明确、最新版本的法定年假以外的其他假期使用准则~,
运营部,运营基建支持,,无限年假希望能用；社团活动经费希望能涨；食堂早饭希望有菜单预览,
运营部,长尾项目,,薪酬、绩效考核，及晋升希望能有更多机会,
政策关系与合规支持中心,公共关系,其他,自助咖啡机的豆子和牛奶能提供好的品牌（例如瑞幸咖啡豆、光明鲜奶）、求恢复下午茶（水果）、期许每年都能有旅游（助推团队内边建设）。,
政策关系与合规支持中心,公共关系,全球平台关系,学习及培养机制、激励制度、员工管理,
政策关系与合规支持中心,公共关系,全球平台关系,"1、年假可以上一年延续到下一年吗，第二年再清空。
2、公司零食可以设置问卷调研，多点选项么",
政策关系与合规支持中心,内容风控,风控组,薪资待遇、绩效激励、灵活考勤,
政策关系与合规支持中心,内容风控,其他,可选择申请的IOS移动端测试设备库存较少,
执行办公室,财务审计组,,"公司内部流程还不够清晰
公司整体的业务知识库建设不足
跨部门的沟通和交流不足",
